Comment,Designator,Footprint,LCSC,Quantity
1k,"R12,R13,R14,R5,R6",R_0402_1005Metric,C11702,5
SMBJ26CA,D1,D_SMB_Non-Polar,C123932,1
LTST-C195KGJRKT,"D3,D4,D6,D7",LED0606_S_1324,C125104,4
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_Molex_105450-0101,C134092,1
1u 50V,"C2,C6,C8,C9",C_0402_1005Metric,C1518208,4
650 @100MHz,L1,R_0603_1608Metric,C15402,1
15pF,"C3,C4",C_0402_1005Metric,C1548,2
2.2uF 10V,"C14,C15",C_0603_1608Metric,C1607,2
11pF,"C11,C12",C_0402_1005Metric,C161525,2
0.1uF 63V,"C28,C29,C30,C32,C33,C34,C35,C36,C37",C_0402_1005Metric,C162178,9
4.7uF 25V,C38,C_0805_2012Metric,C1779,1
1u,C31,C_1206_3216Metric,C1848,1
Conn_01x06,J14,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,C189892,1
JST-GH-SM05B,J12,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,C189896,1
10,R91,R_0402_1005Metric,C25077,1
330,"R1,R107,R114,R115,R117,R122,R123,R18,R19,R22,R23,R28,R29,R34,R35,R40,R41,R46,R47,R52,R53,R58,R59,R60,R63,R64,R74,R75,R84,R85,R86,R89,R90,R92,R93,R94,R95,R97",R_0402_1005Metric,C25104,38
BSS138K,"Q2,Q4",SOT-23,C255592,2
100k,"R119,R120,R121,R124,R125,R16,R17,R20,R21,R26,R27,R30,R31,R32,R33,R36,R37,R38,R39,R4,R42,R43,R44,R45,R48,R49,R50,R51,R54,R55,R56,R7,R8",R_0402_1005Metric,C25741,33
10k,"R100,R101,R102,R103,R104,R105,R106,R108,R109,R110,R111,R112,R113,R116,R118,R24,R25,R3,R65,R66,R67,R68,R69,R70,R71,R72,R73,R76,R77,R78,R79,R80,R81,R82,R83,R87,R88,R96,R98,R99",R_0402_1005Metric,C25744,40
1.5k,R10,R_0402_1005Metric,C25867,1
2.7k,"R61,R62",R_0402_1005Metric,C25885,2
5.1k,"R126,R15",R_0402_1005Metric,C25905,2
Conn_01x04,J13,JST_PA_SM04B-PASS_1x04_P2.00mm_Horizontal,C265073,1
BM10B-SRSS-TB,J5,JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,C265443,1
Conn_01x10_MountingPin,"J10,J9",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,2
11.5k,R9,R_0402_1005Metric,C270653,1
MHT194YBCT,D5,LED0606_Z_1324,C2764891,1
SK9822,"U10,U11,U12,U13,U14,U4,U5,U6,U7,U8,U9",SK9822,C2829089,11
219-8MST,SW6,219-8MST,C2842674,1
RST,SW2,SW_SPST_TL3305A,C2886902,1
~,"F6,F7",Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2924957,2
SW_DIP_x02,SW3,219-2MST,C2961978,1
SW_DIP_x02,SW5,219-2MST,C314502,1
23.7k,R57,R_0402_1005Metric,C327362,1
06F-0200L1,F8,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C377220,1
TAXM8M4RDBCCT2T,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C400090,1
Conn_ARM_JTAG_SWD_10,J2,Samtec-2x5pin-1.27mm,C448647,1
RBR5LAM60ATR,D9,D_SOD-128,C509955,1
TLV70030_SOT353,U3,SOT-353_SC-70-5,C527437,1
BMI323,U2,BMI323,C5368700,1
4A,"F1,F2,F3,F4",Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C5383193,4
A6SN-1104,SW1,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,C600988,1
SI2310-TP,Q3,SOT-23,C669000,1
STM32H723ZGTx,U1,LQFP-144_20x20mm_P0.5mm,C730146,1
100n 50V,"C1,C10,C13,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C5,C7",C_0402_1005Metric,C77020,17
650,R11,R_0402_1005Metric,C82294,1
Q13FC13500005,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C841881,1
BSS84,Q1,SOT-23,C85202,1
B3F-1000,"SW10,SW11,SW12,SW7,SW8,SW9",B3F-1000,C93157,6
MLT-5020,BZ1,MLT-5020,C95297,1
XL-1608UOC-06,D8,LED0603,C965800,1
XL-1608UGC-04,"D10,D11,D12,D13",LED0603,C965804,4
XL-1608UWC-04,D2,LED0603,C965808,1
SM12B-ZESS,J6,JST_ZE_SM12B-ZESS-TB_1x12-1MP_P1.50mm_Horizontal,,1
221ADC16,SW4,221ADC16,,1
SM12B-ZESS,J8,JST_ZE_SM12B-ZESS-TB_1x12-1MP_P1.50mm_Horizontal,,1
SM12B-ZESS,J3,JST_ZE_SM12B-ZESS-TB_1x12-1MP_P1.50mm_Horizontal,,1
SM12B-ZESS,J7,JST_ZE_SM12B-ZESS-TB_1x12-1MP_P1.50mm_Horizontal,,1
BM11B-SRSS-TB,J4,JST_SH_BM11B-SRSS-TB_1x11-1MP_P1.00mm_Vertical,,1
Conn_02x05_Odd_Even,J15,PinHeader_2x05_P2.54mm_Vertical,,1
MEM2067-02-180-00-A,J1,MEM2067-02-180-00-A,,1
