Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,MLT-5020,MLT-5020,220.85,-127.5,0.0,top
C1,100n 50V,C_0402_1005Metric,116.4,-72.6,90.0,top
C10,100n 50V,C_0402_1005Metric,163.13,-106.6,180.0,bottom
C11,11pF,C_0402_1005Metric,166.08,-104.5,180.0,bottom
C12,11pF,C_0402_1005Metric,166.75,-99.0,0.0,bottom
C13,100n 50V,C_0402_1005Metric,218.2,-90.0,315.0,bottom
C14,2.2uF 10V,C_0603_1608Metric,140.05,-113.6,0.0,bottom
C15,2.2uF 10V,C_0603_1608Metric,136.32,-89.92,90.0,bottom
C16,100n 50V,C_0402_1005Metric,163.2,-99.1,180.0,bottom
C17,100n 50V,C_0402_1005Metric,163.15,-104.5,180.0,bottom
C18,100n 50V,C_0402_1005Metric,157.75,-112.68,270.0,bottom
C19,100n 50V,C_0402_1005Metric,151.25,-112.68,270.0,bottom
C2,1u 50V,C_0402_1005Metric,115.2,-72.6,90.0,top
C20,100n 50V,C_0402_1005Metric,146.25,-112.68,270.0,bottom
C21,100n 50V,C_0402_1005Metric,140.62,-112.25,0.0,bottom
C22,100n 50V,C_0402_1005Metric,136.5,-103.1,0.0,bottom
C23,100n 50V,C_0402_1005Metric,137.65,-90.5,90.0,bottom
C24,100n 50V,C_0402_1005Metric,147.25,-86.8,90.0,bottom
C25,100n 50V,C_0402_1005Metric,152.0,-86.8,90.0,bottom
C26,100n 50V,C_0402_1005Metric,163.23,-93.6,180.0,bottom
C27,100n 50V,C_0402_1005Metric,159.75,-88.5,90.0,bottom
C28,0.1uF 63V,C_0402_1005Metric,149.75,-121.55,90.0,top
C29,0.1uF 63V,C_0402_1005Metric,150.75,-121.55,90.0,top
C3,15pF,C_0402_1005Metric,167.2,-96.25,90.0,bottom
C30,0.1u,C_0402_1005Metric,178.6,-108.1,270.0,bottom
C31,1u,C_1206_3216Metric,173.4,-109.1,270.0,bottom
C32,0.1uF 63V,C_0402_1005Metric,205.7,-96.9,270.0,bottom
C33,0.1uF 63V,C_0402_1005Metric,195.7,-105.0,270.0,bottom
C34,0.1uF 63V,C_0402_1005Metric,195.7,-113.0,270.0,bottom
C35,0.1uF 63V,C_0402_1005Metric,205.7,-105.1,270.0,bottom
C36,0.1uF 63V,C_0402_1005Metric,185.7,-104.9,270.0,bottom
C37,0.1uF 63V,C_0402_1005Metric,195.7,-97.0,270.0,bottom
C38,4.7uF 25V,C_0805_2012Metric,184.25,-125.95,0.0,bottom
C4,15pF,C_0402_1005Metric,167.2,-94.05,270.0,bottom
C5,100n 50V,C_0402_1005Metric,136.5,-97.8,0.0,bottom
C6,1u 50V,C_0402_1005Metric,135.5,-96.8,0.0,bottom
C7,100n 50V,C_0402_1005Metric,163.15,-107.65,180.0,bottom
C8,1u 50V,C_0402_1005Metric,163.15,-108.65,180.0,bottom
C9,1u 50V,C_0402_1005Metric,163.13,-105.55,180.0,bottom
D1,SMBJ26CA,D_SMB_Non-Polar,201.7,-142.2,270.0,bottom
D10,XL-1608UGC-04,LED0603,98.8,-93.45,-90.0,top
D11,XL-1608UGC-04,LED0603,100.6,-93.45,-90.0,top
D12,XL-1608UGC-04,LED0603,102.4,-93.45,-90.0,top
D13,XL-1608UGC-04,LED0603,104.2,-93.45,-90.0,top
D2,XL-1608UWC-04,LED0603,196.1,-134.3,90.0,top
D3,LTST-C195KGJRKT,LED0606_S_1324,99.424999,-101.75,0.0,top
D4,LTST-C195KGJRKT,LED0606_S_1324,103.425001,-101.75,0.0,top
D5,MHT194YBCT,LED0606_Z_1324,101.425,-105.0,0.0,top
D6,LTST-C195KGJRKT,LED0606_S_1324,98.175,-107.000001,0.0,top
