Comment,Designator,Footprint,LCSC,Quantity
26.1k,R8,R_0402_1005Metric,C102932,1
330,"R1,R12,R13,R14,R15,R2,R20,R70,R78,R79,R85",R_0402_1005Metric,C105875,11
0,"R24,R28,R6",R_0402_1005Metric,C106231,3
1k,"R29,R34,R37,R40,R42,R58,R9",R_0402_1005Metric,C11702,7
10,"R56,R57,R63",R_0402_1005Metric,C138066,3
0467.250NRHF,F5,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C151137,1
1u 50V,"C11,C17,C3",C_0402_1005Metric,C1518208,3
11pF,"C21,C23",C_0402_1005Metric,C161525,2
4.7u 50V,C39,C_0805_2012Metric,C162420,1
23.2k,R38,R_0402_1005Metric,C163477,1
IX4427,U7,SOIC-8_3.9x4.9mm_P1.27mm,C171845,1
1u,C2,C_1206_3216Metric,C1848,1
~,"F1,F2",Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C187605,2
1.47M,"R4,R45,R46,R47,R48,R49,R50",R_0805_2012Metric,C189666,7
650 @100MHz,L1,R_0603_1608Metric,C21189,1
976k 0.1%,"R66,R67",R_0805_2012Metric,C229056,2
BSS138K,"Q1,Q2",SOT-23,C255592,2
22k,R60,R_0402_1005Metric,C25768,1
14.7k,R51,R_0402_1005Metric,C25856,1
1.5k,R39,R_0402_1005Metric,C25867,1
2.1k,"R72,R73,R74,R75",R_0402_1005Metric,C25877,4
BM04B-PASS-1-TFT,J2,JST_PA_BM04B-PASS_1x04_P2.00_Vertical,C265298,1
JST-SM10B-GHS,"J1,J11",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,2
140k,R59,R_0402_1005Metric,C270645,1
11.5k,R33,R_0402_1005Metric,C270653,1
8.06k,R36,R_0402_1005Metric,C276278,1
SK9822,"U4,U6",SK9822,C2829089,2
BTN0,"SW1,SW3",SW_SPST_TL3305A,C2886902,2
1,R61,R_0805_2012Metric,C2907233,1
1N4001,D2,D_SMA,C2909965,1
HS5M,D14,D_SMC,C2944264,1
0.1u,"C1,C10,C12,C13,C14,C15,C16,C18,C24,C28,C34,C35,C6,C7",C_0402_1005Metric,C307331,14
10A,F3,3557-2,C352820,1
824521261,D1,D_SMB_Non-Polar,C3708253,1
06F-0200L1,F4,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C377220,1
TAXM8M4RDBCCT2T,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C400090,1
STM32G474VETx,U3,LQFP-100_14x14mm_P0.5mm,C431632,1
10u 50V,"C27,C30,C32,C33,C36,C38,C5",C_0805_2012Metric,C440198,7
100n 500V,C41,C_1210_3225Metric,C440207,1
Conn_ARM_JTAG_SWD_10,J4,Samtec-2x5pin-1.27mm,C448647,1
PE1206FRM470R008L,"R64,R65",R_1206_3216Metric,C473031,2
PESD3V3L5UY,D3,SOT-363_SC-70-6,C477992,1
17.4k 0.1%,R68,R_0402_1005Metric,C517755,1
TPS7B86,U2,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm,C5189739,1
TLV70030_SOT353,U1,SOT-353_SC-70-5,C527437,1
LT3757EMSE,U8,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,C580135,1
10k,"R10,R11,R16,R17,R18,R19,R25,R26,R27,R30,R31,R32,R35,R43,R44,R52,R53,R7",R_0402_1005Metric,C60490,18
100k,"R21,R3,R54,R55,R62,R69,R71,R76,R77,R80,R81,R82,R83,R84,R86,R87",R_0402_1005Metric,C60491,16
4.7u 6.3V,"C19,C8",C_0402_1005Metric,C76995,2
10n 50V,"C31,C4,C9",C_0402_1005Metric,C77019,3
100n 200V,C40,C_0805_2012Metric,C784084,1
649,R41,R_0402_1005Metric,C82294,1
Q13FC13500005,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C841881,1
15pF,"C20,C22",C_0402_1005Metric,C88877,2
6.8n 50V,C37,C_0402_1005Metric,C93654,1
MURS460,"D12,D13",D_SMC,C961891,2
XL-1608SURC-06,"D10,D11,D7",LED0603,C965799,3
XL-1608UOC-06,D9,LED0603,C965800,1
XL-1608UGC-04,D5,LED0603,C965804,1
XL-1608UBC-04,"D4,D6",LED0603,C965807,2
XL-1608UWC-04,D8,LED0603,C965808,1
XT30-F,J3,AMASS_XT30U-M_1x02_P5.0mm_Vertical,C99102,1
2165711002,J6,2165711002,,1
2165711002,J5,2165711002,,1
ESMQ201VSN152MR35S,C26,CP_Radial_D30.0mm_P10.00mm_SnapIn,,1
ESMQ201VSN152MR35S,C25,CP_Radial_D30.0mm_P10.00mm_SnapIn,,1
GA3460-BL,L2,GA34XX-BL,,1
SM08B-GHS-TB,J9,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,,1
IXGA48N60A3,Q3,TO-263-2,,1
IXGA48N60A3,Q4,TO-263-2,,1
SW_DIP_x04,SW2,CHP-041TB,,1
BSC0402NSATMA1,Q5,TDSON-8-1,,1
REH1020471M050K,C29,CP_Radial_H_InPlane_D10.00mm_H22.00mm_P5.00mm,,1
3269P-1-103GLF,RV1,Potentiometer_Bourns_3269P_Horizontal,,1
SM08B-GHS-TB,J8,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,,1
3269P-1-103GLF,RV2,Potentiometer_Bourns_3269P_Horizontal,,1
SM12B-ZESS-TB,J7,JST_ZE_BM12B-ZESS-TBT_1x12-1MP_P1.50mm_Vertical,,1
