Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,189.88,-161.0,180.0,top
C10,100n 50V,C_0402_1005Metric,216.0,-145.22,90.0,bottom
C11,1u 50V,C_0402_1005Metric,199.8,-156.0,180.0,top
C12,100n 50V,C_0402_1005Metric,210.5,-145.25,90.0,bottom
C13,100n 50V,C_0402_1005Metric,219.8,-161.0,180.0,bottom
C14,100n 50V,C_0402_1005Metric,200.0,-149.7,0.0,bottom
C15,100n 50V,C_0402_1005Metric,199.8,-154.9,0.0,bottom
C16,100n 50V,C_0402_1005Metric,217.0,-145.22,90.0,bottom
C17,1u 50V,C_0402_1005Metric,199.8,-154.9,180.0,top
C18,100n 50V,C_0402_1005Metric,197.0,-160.1,270.0,bottom
C19,4.7u 6.3V,C_0402_1005Metric,167.5,-158.0,135.0,top
C2,1u,C_1206_3216Metric,192.0,-158.9,180.0,top
C20,15pF,C_0402_1005Metric,211.0,-158.3,90.0,top
C21,11pF,C_0402_1005Metric,208.5,-166.58995,270.0,bottom
C22,15pF,C_0402_1005Metric,213.5,-158.3,90.0,top
C23,11pF,C_0402_1005Metric,213.8,-167.3,90.0,bottom
C24,100n 50V,C_0402_1005Metric,208.8,-158.3,180.0,top
C27,10u 50V,C_0805_2012Metric,205.5,-140.5,-90.0,top
C28,100n 50V,C_0402_1005Metric,218.65,-140.5,-90.0,top
C3,1u 50V,C_0402_1005Metric,190.5,-149.1,90.0,top
C30,10u 50V,C_0805_2012Metric,188.5,-81.5,0.0,bottom
C31,10n 50V,C_0402_1005Metric,203.1,-81.5,90.0,top
C32,10u 50V,C_0805_2012Metric,208.900001,-79.5,180.0,top
C33,10u 50V,C_0805_2012Metric,188.5,-84.0,0.0,bottom
C34,100n 50V,C_0402_1005Metric,204.400001,-79.5,90.0,top
C35,100n 50V,C_0402_1005Metric,211.400001,-80.5,90.0,top
C36,10u 50V,C_0805_2012Metric,188.5,-86.5,0.0,bottom
C37,6.8n 50V,C_0402_1005Metric,206.400001,-79.5,-90.0,top
C38,10u 50V,C_0805_2012Metric,188.5,-89.0,0.0,bottom
C39,4.7u 50V,C_0805_2012Metric,213.400001,-81.5,90.0,top
C4,10n 50V,C_0402_1005Metric,200.0,-145.0,90.0,top
C40,100n 200V,C_0805_2012Metric,215.5,-76.0,0.0,top
C41,100n 500V,C_1210_3225Metric,203.5,-97.0,90.0,top
C5,10u 50V,C_0805_2012Metric,200.5,-151.0,0.0,top
C6,100n 50V,C_0402_1005Metric,180.5,-176.5,0.0,top
C7,100n 50V,C_0402_1005Metric,252.0,-151.25,-45.0,top
C8,4.7u 6.3V,C_0402_1005Metric,204.7,-164.8,90.0,bottom
C9,10n 50V,C_0402_1005Metric,199.8,-156.0,0.0,bottom
D1,824521261,D_SMB_Non-Polar,185.0,-152.0,90.0,top
D10,XL-1608SURC-06,LED0603,129.0,-143.5,90.0,top
D11,XL-1608SURC-06,LED0603,291.0,-143.5,90.0,top
D12,MURS460,D_SMC,233.0,-138.0,180.0,top
D13,MURS460,D_SMC,251.0,-140.0,-90.0,top
D14,HS5M,D_SMC,196.0,-99.0,180.0,top
D2,1N4001,D_SMA,195.0,-151.4,0.0,top
D3,PESD3V3L5UY,SOT-363_SC-70-6,235.5,-157.25,45.0,top
D4,XL-1608UBC-04,LED0603,291.0,-132.5,90.0,top
D5,XL-1608UGC-04,LED0603,246.0,-167.5,90.0,top
D6,XL-1608UBC-04,LED0603,129.0,-132.5,90.0,top
D7,XL-1608SURC-06,LED0603,244.0,-167.5,90.0,top
D8,XL-1608UWC-04,LED0603,250.0,-167.5,90.0,top
D9,XL-1608UOC-06,LED0603,248.0,-167.5,90.0,top
F1,~,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,197.9,-164.75,90.0,top
F2,~,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,195.9,-164.75,90.0,top
F3,10A,3557-2,180.0,-144.0,180.0,bottom
F4,06F-0200L1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,196.5,-155.0,0.0,top
F5,0467.250NRHF,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,202.5,-144.0,90.0,top
J1,JST-SM10B-GHS,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,210.0,-177.7,180.0,bottom
J2,BM04B-PASS-1-TFT,JST_PA_BM04B-PASS_1x04_P2.00_Vertical,195.0,-171.5,0.0,top
J3,XT30-M,AMASS_XT30U-M_1x02_P5.0mm_Vertical,185.5,-169.0,-90.0,top
J4,Conn_ARM_JTAG_SWD_10,Samtec-2x5pin-1.27mm,241.5,-160.0,45.0,top
J8,SM08B-GHS-TB,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,226.025,-177.7,180.0,bottom
J9,SM08B-GHS-TB,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,194.025,-177.7,180.0,bottom
L1,650 @100MHz,R_0603_1608Metric,192.6,-163.9,180.0,top
Q1,BSS138K,SOT-23,229.5,-167.5,0.0,top
Q2,BSS138K,SOT-23,244.664124,-151.585875,315.0,top
R1,330,R_0402_1005Metric,216.0,-149.5,180.0,top
R10,10k,R_0402_1005Metric,192.5,-143.0,180.0,top
R11,10k,R_0402_1005Metric,180.5,-175.5,0.0,top
