Comment,Designator,Footprint,LCSC,Quantity
1k,R38,R_0402_1005Metric,C11702,1
EEEFT1V101AP,"C22,C23",CP_Elec_6.3x5.8,C128464,2
SMBJ26CA,D6,D_SMB_Non-Polar,C135063,1
BAS16VY,"D1,D2",SOT-363_SC-70-6,C135826,2
40.2k 1%,R19,R_0402_1005Metric,C137983,1
1uF 10V,"C11,C12,C15,C17,C3,C5",C_0402_1005Metric,C14445,6
0467.250NRHF,F3,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C151137,1
SM06B-SRSS-TB,J3,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C160405,1
0.1uF 63V,"C1,C13,C14,C16,C4,C6,C7,C9",C_0402_1005Metric,C162178,8
0,"R33,R39,R41,R42",R_0402_1005Metric,C17168,4
0501010.WR1,F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C207003,1
650 @100MHz,L1,R_0603_1608Metric,C21189,1
10,"R1,R10,R11,R14,R4,R5",R_0402_1005Metric,C25077,6
330,R35,R_0402_1005Metric,C25104,1
100k,"R20,R34,R37",R_0402_1005Metric,C25741,3
2.37k 1%,"R22,R26",R_0402_1005Metric,C25881,2
140k 1%,R23,R_0402_1005Metric,C270645,1
11.5k,R17,R_0402_1005Metric,C270653,1
HoLLR2512-3W-100mR-1%,"R18,R27",2512_CS_ADI-TypeC,C2994646,2
06F-0200L1,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C377220,1
TAXM8M4RDBCCT2T,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C400090,1
22uF 6.3V,C10,C_0402_1005Metric,C415703,1
Conn_ARM_JTAG_SWD_10,J6,Samtec-2x5pin-1.27mm,C448647,1
STL90N10F7,"Q1,Q2,Q3,Q4,Q5,Q6",PowerFLAT_5x6,C457493,6
62,"R12,R13,R2,R3,R6,R9",R_0402_1005Metric,C4962,6
BSS138K,Q7,SOT-23,C5224263,1
TLV70030_SOT353,U3,SOT-353_SC-70-5,C527437,1
60 1%,R25,R_0402_1005Metric,C60310,1
10k,"R15,R16,R24,R28,R29,R30,R31,R32,R40,R7,R8",R_0402_1005Metric,C60490,11
1uF 63V,"C2,C8",C_1206_3216Metric,C70463,2
11pF,"C20,C21",C_0402_1005Metric,C710643,2
Q13FC13500005,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C841881,1
15pF,"C18,C19",C_0402_1005Metric,C86285,2
AS5047P,U2,TSSOP-14_4.4x5mm_P0.65mm,C962063,1
XL-1608SURC-06,D5,LED0603,C965799,1
XL-1608UOC-06,D3,LED0603,C965800,1
XL-1608UGC-04,D4,LED0603,C965804,1
