Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF 63V,C_0402_1005Metric,229.0,-143.9,0.0,bottom
C10,22uF 6.3V,C_0402_1005Metric,219.8,-144.0,90.0,bottom
C11,1uF 10V,C_0402_1005Metric,220.5,-150.649999,90.0,bottom
C12,1uF 10V,C_0402_1005Metric,215.7,-147.0,90.0,top
C13,0.1uF 63V,C_0402_1005Metric,214.7,-147.0,90.0,top
C14,0.1uF 63V,C_0402_1005Metric,215.2,-154.5,0.0,top
C15,1uF 10V,C_0402_1005Metric,216.0,-159.45,-90.0,top
C16,0.1uF 63V,C_0402_1005Metric,223.0,-160.0,270.0,bottom
C17,1uF 10V,C_0402_1005Metric,213.2,-154.5,180.0,top
C18,15pF,C_0402_1005Metric,229.25,-151.75,90.0,top
C19,15pF,C_0402_1005Metric,230.25,-151.75,90.0,top
C2,1uF 63V,C_1206_3216Metric,224.5,-155.5,0.0,bottom
C20,11pF,C_0402_1005Metric,227.25,-151.75,90.0,top
C21,11pF,C_0402_1005Metric,228.25,-151.75,90.0,top
C22,EEEFT1V101AP,CP_Elec_6.3x5.8,201.1,-132.1,180.0,bottom
C23,EEEFT1V101AP,CP_Elec_6.3x5.8,201.1,-139.4,180.0,bottom
C3,1uF 10V,C_0402_1005Metric,231.75,-152.75,-90.0,top
C4,0.1uF 63V,C_0402_1005Metric,231.75,-152.75,270.0,bottom
C5,1uF 10V,C_0402_1005Metric,224.75,-153.75,180.0,top
C6,0.1uF 63V,C_0402_1005Metric,224.75,-153.75,0.0,bottom
C7,0.1uF 63V,C_0402_1005Metric,227.0,-143.9,0.0,bottom
C8,1uF 63V,C_1206_3216Metric,229.5,-155.5,180.0,bottom
C9,0.1uF 63V,C_0402_1005Metric,225.0,-143.9,0.0,bottom
D1,BAS16VY,SOT-363_SC-70-6,228.6,-139.3,90.0,bottom
D2,BAS16VY,SOT-363_SC-70-6,225.4,-139.3,90.0,bottom
D3,XL-1608UOC-06,LED0603,189.9,-158.2,0.0,top
D4,XL-1608UGC-04,LED0603,189.9,-156.5,0.0,top
D5,XL-1608SURC-06,LED0603,189.9,-154.8,0.0,top
D6,SMBJ26CA,D_SMB_Non-Polar,202.0,-126.0,0.0,bottom
F1,06F-0200L1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,218.75,-156.75,90.0,top
F2,0501010.WR1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,196.55,-157.85,270.0,bottom
F3,0467.250NRHF,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,218.25,-164.2,90.0,top
J1,SM06B-SRSS-TB,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,191.0,-156.5,90.0,bottom
J3,SM06B-SRSS-TB,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,191.0,-146.5,90.0,bottom
J6,Conn_ARM_JTAG_SWD_10,Samtec-2x5pin-1.27mm,192.0,-137.0,90.0,bottom
L1,650 @100MHz,R_0603_1608Metric,212.95,-156.75,90.0,top
Q1,STL90N10F7,PowerFLAT_5x6,214.349999,-129.575,90.0,bottom
Q2,STL90N10F7,PowerFLAT_5x6,214.4,-137.175,90.0,bottom
Q3,STL90N10F7,PowerFLAT_5x6,220.2,-129.575,90.0,bottom
Q4,STL90N10F7,PowerFLAT_5x6,220.2,-137.175,90.0,bottom
Q5,STL90N10F7,PowerFLAT_5x6,208.6,-129.575,90.0,bottom
Q6,STL90N10F7,PowerFLAT_5x6,208.6,-137.175,90.0,bottom
Q7,BSS138K,SOT-23,221.75,-156.75,0.0,top
R1,10,R_0402_1005Metric,228.8,-136.5,90.0,bottom
R10,10,R_0402_1005Metric,227.6,-136.5,90.0,bottom
R11,10,R_0402_1005Metric,224.0,-136.5,90.0,bottom
R12,62,R_0402_1005Metric,224.0,-142.1,270.0,bottom
R13,62,R_0402_1005Metric,225.2,-142.1,270.0,bottom
R14,10,R_0402_1005Metric,225.2,-136.5,90.0,bottom
R15,10k,R_0402_1005Metric,194.35,-160.25,180.0,top
R16,10k,R_0402_1005Metric,194.35,-159.15,180.0,top
R17,11.5k,R_0402_1005Metric,219.35,-152.65,90.0,bottom
R18,HoLLR2512-3W-100mR-1%,2512_CS_ADI-TypeC,216.0,-147.1,270.0,bottom
R19,40.2k 1%,R_0402_1005Metric,220.75,-148.15,270.0,bottom
R2,62,R_0402_1005Metric,228.8,-142.1,270.0,bottom
R20,100k,R_0402_1005Metric,209.25,-166.1,90.0,top
R22,2.37k 1%,R_0402_1005Metric,219.2,-145.525,180.0,bottom
R23,140k 1%,R_0402_1005Metric,220.725,-146.05,270.0,bottom
R24,10.0k 1%,R_0402_1005Metric,219.2,-147.625,180.0,bottom
R25,60 1%,R_0402_1005Metric,220.5,-152.65,90.0,bottom
R26,2.37k 1%,R_0402_1005Metric,219.2,-146.575,180.0,bottom
R27,HoLLR2512-3W-100mR-1%,2512_CS_ADI-TypeC,211.5,-147.1,270.0,bottom
R28,10k,R_0402_1005Metric,203.6,-142.5,0.0,top
R29,10k,R_0402_1005Metric,203.6,-143.5,0.0,top
R3,62,R_0402_1005Metric,230.0,-142.1,270.0,bottom
R30,10k,R_0402_1005Metric,203.6,-141.5,0.0,top
R31,10k,R_0402_1005Metric,190.45,-148.0,0.0,top
R32,10k,R_0402_1005Metric,190.45,-145.0,180.0,top
R33,0,R_0402_1005Metric,203.2,-151.2,0.0,top
R34,100k,R_0402_1005Metric,210.75,-166.1,-90.0,top
R35,330,R_0402_1005Metric,212.25,-166.1,90.0,top
R37,100k,R_0402_1005Metric,207.75,-166.1,90.0,top
R38,1k,R_0402_1005Metric,219.35,-150.65,90.0,bottom
R39,0,R_0402_1005Metric,212.75,-161.85,0.0,top
R4,10,R_0402_1005Metric,230.0,-136.5,90.0,bottom
R40,10k,R_0402_1005Metric,190.45,-146.0,0.0,top
R41,0,R_0402_1005Metric,203.2,-150.1,0.0,top
R42,0,R_0402_1005Metric,203.2,-149.0,0.0,top
R5,10,R_0402_1005Metric,226.4,-136.5,90.0,bottom
R6,62,R_0402_1005Metric,226.4,-142.1,270.0,bottom
R7,10k,R_0402_1005Metric,194.35,-158.0,0.0,top
R8,10k,R_0402_1005Metric,194.35,-161.35,180.0,top
R9,62,R_0402_1005Metric,227.6,-142.1,270.0,bottom
U2,AS5047P,TSSOP-14_4.4x5mm_P0.65mm,210.0,-148.0,270.0,top
U3,TLV70030_SOT353,SOT-353_SC-70-5,215.35,-156.75,90.0,top
Y1,Q13FC13500005,Crystal_SMD_3215-2Pin_3.2x1.5mm,230.0,-157.25,180.0,top
Y2,TAXM8M4RDBCCT2T,Crystal_SMD_3225-4Pin_3.2x2.5mm,226.0,-158.0,-90.0,top
