Comment,Designator,Footprint,LCSC,Quantity
TLV70033_SOT23-5,U9,SOT-23-5,C11337,1
68.1k,R30,R_0402_1005Metric,C11537,1
1k,"R16,R21,R9",R_0402_1005Metric,C11702,3
3.6M,R64,R_0402_1005Metric,C131575,1
1.5M,"R17,R19,R2,R20,R22,R41,R42,R43",R_0402_1005Metric,C138034,8
1n,"C28,C29",C_0402_1005Metric,C14442,2
0467.250NRHF,F4,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C151137,1
0467.500NRHF,F5,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C151138,1
10n,C41,C_0402_1005Metric,C15195,1
LMR14050,"U6,U7,U8",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C155484,3
Conn_01x07,J8,JST_XH_S7B-XH-A_1x07_P2.50mm_Horizontal,C157916,1
5.6pF,C39,C_0402_1005Metric,C161329,1
100n 63V,"C10,C11,C14,C21,C26,C27,C38,C43,C5,C8,C9",C_0402_1005Metric,C162178,11
FXL1040-8R2-M,"L2,L3",L_Bourns_SRP1038C_10.0x10.0mm,C167232,2
220n,"C45,C49,C51,C52,C53,C54,C55",C_0402_1005Metric,C16772,7
FNR4030S470MT,L4,L_Changjiang_FNR4030S,C167888,1
0,"R25,R27,R55",R_0402_1005Metric,C17168,3
1u 63V,"C13,C42",C_1206_3216Metric,C1848,2
SM02B-GHS,SW2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893,1
SM05B-GHS,J6,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,C189896,1
650 @100MHz,L1,R_0603_1608Metric,C19330,1
MMBT5401LT1G,Q6,SOT-23,C231274,1
4.7u 10V,"C6,C7",C_0402_1005Metric,C23733,2
1.5n,C30,C_0402_1005Metric,C23967,1
10,R8,R_0402_1005Metric,C25077,1
330,"R44,R45,R46,R47,R48,R49",R_0402_1005Metric,C25104,6
12k,R34,R_0402_1005Metric,C25752,1
133k,R74,R_0402_1005Metric,C25753,1
150k,R72,R_0402_1005Metric,C25755,1
499k,"R51,R61,R63,R65,R67,R69,R71",R_0402_1005Metric,C25793,7
549k,R70,R_0402_1005Metric,C25795,1
56k,R52,R_0402_1005Metric,C25796,1
47.5k,R10,R_0402_1005Metric,C25896,1
4.99k,"R53,R57,R59,R77",R_0402_1005Metric,C25903,4
100p,"C46,C47,C48,C50",C_0402_1005Metric,C26409,4
LM5069,U4,VSSOP-10_3x3mm_P0.5mm,C2653582,1
29.4k,R76,R_0402_1005Metric,C26973,1
52.3k,R39,R_0402_1005Metric,C26982,1
69.8k,R29,R_0402_1005Metric,C26985,1
76.8k,R37,R_0402_1005Metric,C26987,1
95.3k,R12,R_0402_1005Metric,C26990,1
9.31k,R56,R_0402_1005Metric,C270572,1
8.66k,R13,R_0402_1005Metric,C270576,1
4.75M,R62,R_0402_1005Metric,C270598,1
16.2k,R18,R_0402_1005Metric,C27176,1
SK9822,"U1,U2",SK9822,C2829089,2
RST,"SW1,SW3",SW_SPST_TL3305A,C2886899,2
3v3 Local Enable,"JP2,JP3",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907080,2
180u,"C22,C25,C32,C35",CP_Elec_6.3x7.7,C2918361,4
V25PN60,"D1,D11,D15,D16",TO-277A,C3018534,4
8.2n,"C23,C24,C31",C_0402_1005Metric,C307436,3
23.7k,R6,R_0402_1005Metric,C327362,1
15A,F6,3557-2,C352820,1
68k,R33,R_0402_1005Metric,C36871,1
165k,R38,R_0402_1005Metric,C38706,1
TAXM8M4RDBCCT2T,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C400090,1
330u,"C33,C36",CP_Elec_6.3x7.7,C413522,2
33n 50V,C12,C_0402_1005Metric,C415530,1
10u 50V,"C15,C18,C34",C_0805_2012Metric,C440198,3
STL90N10F7,"Q4,Q5",PowerFLAT_5x6,C457493,2
2.67M,R66,R_0402_1005Metric,C477658,1
PESD3V3L5UY,"D7,D8,D9",SOT-363_SC-70-6,C477992,3
34k,R35,R_0402_1005Metric,C48939,1
SM02B-PASS,J10,JST_PA_SM02B-PASS_1x02_P2.00mm_Horizontal,C495198,1
1.5m,"R14,R15",R_2512_6332Metric,C500737,2
RBR5LAM60ATR,"D18,D6",D_SOD-128,C509955,2
SM03B-GHS,J2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C514175,1
FTSH-105-01-L-DV-K-TR,J1,Samtec-2x5pin-1.27mm,C5155080,1
TPS54260DGQ,U10,HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm,C51800,1
4.42k,R58,R_0402_1005Metric,C52269,1
STM32G030C8Tx,U3,LQFP-48_7x7mm_P0.5mm,C529329,1
APH1265T220M,L5,L_APV_APH1265,C5349635,1
1.6M,R68,R_0402_1005Metric,C57065,1
0466005.NRHF,"F1,F2,F3",Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C57525,3
10k,"R23,R28,R3,R31,R32,R36,R4,R40,R5,R7,R73,R75",R_0402_1005Metric,C60490,12
SI2310-TP,Q2,SOT-23,C669000,1
LTC2955-2,U5,TSOT-23-8_HandSoldering,C683797,1
11pF,"C1,C3",C_0402_1005Metric,C710643,2
SMBJ28CA,"D10,D12",D_SMB_Non-Polar,C78417,2
BSS84,Q1,SOT-23,C82079,1
1N4148W,D13,D_SOD-123,C83528,1
Q13FC13500005,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C841881,1
47u 10V,C44,C_1210_3225Metric,C84494,1
2.7n,C40,C_0402_1005Metric,C84704,1
2N7002,Q3,SOT-23,C8545,1
15pF,"C2,C4",C_0402_1005Metric,C86285,2
1N4001,,D_SMA,C895212,0
MLT-5020,BZ1,MLT-5020,C95297,1
9.53k,R11,R_0402_1005Metric,C96273,1
XL-1608SURC-06,D3,LED0603,C965799,1
XL-1608UOC-06,D4,LED0603,C965800,1
XL-1608UGC-04,D2,LED0603,C965804,1
XL-1608UWC-04,D5,LED0603,C965808,1
5.6M,"R50,R60",R_0402_1005Metric,C966764,2
4.7u 50V,"C16,C17,C19,C20,C37",C_0805_2012Metric,C98192,5
SM04B-PASS,J4,JST_PA_SM04B-PASS_1x04_P2.00mm_Horizontal,,1
OVLO,TP3,TestPoint_Pad_D2.5mm,,1
XT30PW-F,J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,,1
GATE/dVdt,TP4,TestPoint_Pad_D2.5mm,,1
EN/UVLO,TP2,TestPoint_Pad_D2.5mm,,1
~{EN},TP1,TestPoint_Pad_D2.5mm,,1
XT30PW-F,J5,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,,1
SM04B-PASS,J9,JST_PA_SM04B-PASS_1x04_P2.00mm_Horizontal,,1
