Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,MLT-5020,MLT-5020,178.35,-134.45,90.0,top
C1,11pF,C_0402_1005Metric,155.05,-87.8,225.0,bottom
C10,100n 63V,C_0402_1005Metric,101.476284,-81.55,-90.0,top
C11,100n 50V,C_0402_1005Metric,103.711284,-79.3,0.0,top
C12,33n 50V,C_0402_1005Metric,95.0,-102.25,180.0,top
C13,1u 63V,C_1206_3216Metric,107.0,-78.6,180.0,top
C14,100n 50V,C_0402_1005Metric,113.000001,-104.6,90.0,top
C15,10u 50V,C_0805_2012Metric,144.850001,-128.289999,180.0,top
C16,4.7u 50V,C_0805_2012Metric,143.250001,-112.25,180.0,top
C17,4.7u 50V,C_0805_2012Metric,128.75,-112.25,180.0,top
C18,10u 50V,C_0805_2012Metric,144.850001,-126.2,180.0,top
C19,4.7u 50V,C_0805_2012Metric,143.25,-110.25,180.0,top
C2,15pF,C_0402_1005Metric,157.742893,-98.074874,315.0,bottom
C20,4.7u 50V,C_0805_2012Metric,128.75,-110.23,180.0,top
C21,100n 50V,C_0402_1005Metric,149.15,-123.3,0.0,top
C22,180u,CP_Elec_6.3x7.7,175.3,-119.6,180.0,top
C23,8.2n,C_0402_1005Metric,146.23,-100.749999,180.0,top
C24,8.2n,C_0402_1005Metric,131.750001,-100.75,180.0,top
C25,180u,CP_Elec_6.3x7.7,175.3,-127.1,180.0,top
C26,100n 50V,C_0402_1005Metric,142.0,-108.0,90.0,top
C27,100n 50V,C_0402_1005Metric,127.499999,-108.0,90.0,top
C28,1n,C_0402_1005Metric,169.6,-131.7,0.0,top
C29,1n,C_0402_1005Metric,150.0,-96.75,90.0,top
C3,11pF,C_0402_1005Metric,158.85,-84.0,45.0,bottom
C30,1.5n,C_0402_1005Metric,135.5,-96.75,90.0,top
C31,8.2n,C_0402_1005Metric,154.8,-126.6,90.0,top
C32,220u,CP_Elec_6.3x5.8,139.5,-82.75,90.0,top
C33,330u,CP_Elec_6.3x7.7,124.499999,-82.75,270.0,top
C34,10u 50V,C_0805_2012Metric,144.850001,-124.1,180.0,top
C35,220u,CP_Elec_6.3x5.8,147.0,-82.75,90.0,top
C36,330u,CP_Elec_6.3x7.7,132.0,-82.75,270.0,top
C37,4.7u 50V,C_0805_2012Metric,155.05,-108.35,90.0,top
C38,100n 50V,C_0402_1005Metric,172.8,-111.85,-90.0,top
C39,5.6pF,C_0402_1005Metric,164.54,-111.6,0.0,top
C4,15pF,C_0402_1005Metric,155.975126,-96.307107,315.0,bottom
C40,2.7n,C_0402_1005Metric,166.29,-111.1,-90.0,top
C41,10n,C_0402_1005Metric,155.05,-110.85,180.0,top
C42,1u,C_1206_3216Metric,179.0,-113.0,-90.0,top
